	ERX284466_ERR311185	ERX284470_ERR311189	ERX284472_ERR311191	ERX388947_ERR422654	ERX388948_ERR422655	SAMN12610744	SAMN12611509	SRX1144605_SRR2168393	SRX1154245_SRR2158266	SRX1592101_SRR3177738	SRX1592162_SRR3177739	SRX1592163_SRR3177740	SRX1592164_SRR3177741	SRX1592165_SRR3177742	SRX1592166_SRR3177743	SRX1592171_SRR3177744	SRX1592177_SRR3177745	SRX1592186_SRR3177746	SRX1592214_SRR3177750	SRX1592224_SRR3177751	SRX1592230_SRR3177752	SRX1592245_SRR3177753	SRX1592271_SRR3177757	SRX1592280_SRR3177759	SRX1592286_SRR3177760	SRX1592295_SRR3177763	SRX1592307_SRR3177765	SRX1592314_SRR3177768	SRX1592320_SRR3177775	SRX1592323_SRR3177790	SRX1592325_SRR3177803	SRX1592328_SRR3177805	SRX1592336_SRR3177862	SRX1592340_SRR3177890	SRX1592341_SRR3177900	SRX1592343_SRR3177903	SRX1592345_SRR3177919	SRX1592347_SRR3177927	SRX1592348_SRR3177928	SRX1592349_SRR3177929	SRX1592350_SRR3177930	SRX1592352_SRR3177932	SRX1592354_SRR3177934	SRX1592355_SRR3177935	SRX1592356_SRR3177936	SRX1592357_SRR3177937	SRX1592358_SRR3177946	SRX1592368_SRR3177947	SRX1592380_SRR3177949	SRX1592388_SRR3177950	SRX1592392_SRR3177951	SRX1592415_SRR3177974	SRX1592419_SRR3177990	SRX1592425_SRR3178009	SRX1592426_SRR3178010	SRX1592436_SRR3178016	SRX1592437_SRR3178017	SRX1592440_SRR3178018	SRX982618_SRR1957168	SRX982619_SRR1957169	SRX982621_SRR1957171	SRX982624_SRR1957174	SRX982625_SRR1957175	SRX982628_SRR1957178
SRX1592162_SRR3177739	0.99141	0.99901	0.99901	0.99901	0.99901	0.05416	0.06572	1.0	1.0	0.00462	0.0	0.00429	0.00528	0.00627	0.00594	0.00561	0.99108	0.00495	0.99174	0.73085	0.99075	0.99108	0.04524	0.00627	0.0076	1.0	0.00627	0.00826	0.00561	0.00627	0.00561	0.00826	1.0	0.00561	0.99075	1.0	0.80647	0.00462	1.0	1.0	1.0	0.00462	1.0	0.00495	1.0	1.0	0.00627	1.0	0.00528	0.99273	0.00561	1.0	0.99273	1.0	0.00727	0.00958	0.00859	0.00727	0.99108	0.00462	1.0	0.00594	0.00694	1.0
SRX1592163_SRR3177740	0.99141	0.99967	0.99967	0.99967	0.99967	0.05152	0.06737	1.0	1.0	0.00297	0.00429	0.0	0.00198	0.00396	0.00363	0.0033	0.99108	0.00264	0.99174	0.73018	0.99075	0.99108	0.04293	0.00396	0.00561	1.0	0.00396	0.00627	0.0033	0.00396	0.00396	0.00661	1.0	0.0033	0.99075	1.0	0.80647	0.00297	1.0	1.0	1.0	0.00297	1.0	0.00198	1.0	1.0	0.00396	1.0	0.00297	0.99273	0.0033	1.0	0.99273	1.0	0.00495	0.00661	0.00627	0.00495	0.99108	0.00264	1.0	0.00429	0.00528	1.0
SRX1592164_SRR3177741	0.99141	0.99934	0.99934	0.99934	0.99934	0.05152	0.06803	1.0	1.0	0.0033	0.00528	0.00198	0.0	0.00429	0.00396	0.00363	0.99108	0.00297	0.99174	0.73052	0.99075	0.99108	0.04326	0.00429	0.00561	1.0	0.00429	0.00627	0.00429	0.00429	0.00429	0.00694	1.0	0.00363	0.99075	1.0	0.8068	0.00462	1.0	1.0	1.0	0.0033	1.0	0.00297	1.0	1.0	0.00429	1.0	0.0033	0.99273	0.00363	1.0	0.99273	1.0	0.00594	0.00694	0.00727	0.00528	0.99108	0.00297	1.0	0.00462	0.00561	1.0
SRX1592165_SRR3177742	0.99141	0.99934	0.99934	0.99934	0.99934	0.05119	0.0677	1.0	1.0	0.00165	0.00627	0.00396	0.00429	0.0	0.00297	0.00231	0.99108	0.00132	0.99174	0.73085	0.99075	0.99108	0.04293	0.00396	0.00495	1.0	0.00198	0.00627	0.00528	0.00396	0.00264	0.00528	1.0	0.00198	0.99075	1.0	0.80647	0.00495	1.0	1.0	1.0	0.0033	1.0	0.0033	1.0	1.0	0.00264	1.0	0.00231	0.99273	0.00198	1.0	0.99273	1.0	0.00429	0.00859	0.00727	0.00297	0.99108	0.00396	1.0	0.00429	0.00528	1.0
SRX1592166_SRR3177743	0.99141	0.99967	0.99967	0.99967	0.99967	0.05086	0.0677	1.0	1.0	0.00198	0.00594	0.00363	0.00396	0.00297	0.0	0.00231	0.99108	0.00165	0.99174	0.73018	0.99075	0.99108	0.0426	0.00231	0.00462	1.0	0.00231	0.00528	0.00429	0.00363	0.00297	0.00561	1.0	0.00231	0.99075	1.0	0.80647	0.00462	1.0	1.0	1.0	0.00297	1.0	0.00231	1.0	1.0	0.00231	1.0	0.00132	0.99273	0.00231	1.0	0.99273	1.0	0.00528	0.00793	0.00694	0.00264	0.99108	0.00363	1.0	0.0033	0.00429	1.0
SRX1592171_SRR3177744	0.99141	0.99934	0.99934	0.99934	0.99934	0.05053	0.06704	1.0	1.0	0.00132	0.00561	0.0033	0.00363	0.00231	0.00231	0.0	0.99108	0.00099	0.99174	0.73052	0.99075	0.99108	0.04161	0.0033	0.00462	1.0	0.00231	0.00528	0.00396	0.0033	0.00231	0.00528	1.0	0.00198	0.99075	1.0	0.80647	0.00429	1.0	1.0	1.0	0.00198	1.0	0.00264	1.0	1.0	0.00165	1.0	0.00165	0.99273	0.00231	1.0	0.99273	1.0	0.00396	0.00727	0.00594	0.0033	0.99108	0.0033	1.0	0.00363	0.00396	1.0
SRX1592177_SRR3177745	0.45905	0.99604	0.99604	0.99604	0.99604	0.99141	0.99141	1.0	1.0	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.0	0.99108	0.42734	0.99075	0.46433	0.05383	0.99174	0.99108	0.99108	1.0	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	1.0	0.99108	0.46169	1.0	0.99075	0.99108	1.0	1.0	1.0	0.99108	1.0	0.99108	1.0	1.0	0.99108	1.0	0.99108	0.50627	0.99108	1.0	0.48316	1.0	0.99108	0.99108	0.99108	0.99108	0.4683	0.99108	1.0	0.99108	0.99108	1.0
SRX1592186_SRR3177746	0.99141	1.0	1.0	1.0	1.0	0.05053	0.06704	1.0	1.0	0.00033	0.00495	0.00264	0.00297	0.00132	0.00165	0.00099	0.99108	0.0	0.99174	0.73052	0.99075	0.99108	0.04161	0.00264	0.00363	1.0	0.00132	0.00495	0.00396	0.00264	0.00132	0.00462	1.0	0.00132	0.99075	1.0	0.80647	0.00363	1.0	1.0	1.0	0.00198	1.0	0.00198	1.0	1.0	0.00132	1.0	0.00099	0.99273	0.00132	1.0	0.99273	1.0	0.00363	0.00727	0.00594	0.00231	0.99108	0.00264	1.0	0.00297	0.00396	1.0
SRX1592214_SRR3177750	0.39828	0.99835	0.99835	0.99835	0.99835	0.99141	0.99141	1.0	1.0	0.99174	0.99174	0.99174	0.99174	0.99174	0.99174	0.99174	0.42734	0.99174	0.0	0.98943	0.40687	0.42041	0.99207	0.99174	0.99174	1.0	0.99174	0.99174	0.99141	0.99174	0.99174	0.99141	1.0	0.99174	0.40291	1.0	0.99141	0.99174	1.0	1.0	1.0	0.99174	1.0	0.99174	1.0	1.0	0.99174	1.0	0.99174	0.44584	0.99174	1.0	0.47754	1.0	0.99141	0.99174	0.99174	0.99174	0.41116	0.99174	1.0	0.99174	0.99174	1.0
SRX1592224_SRR3177751	0.99075	0.99901	0.99901	0.99901	0.99901	0.73877	0.74604	1.0	1.0	0.73052	0.73085	0.73018	0.73052	0.73085	0.73018	0.73052	0.99075	0.73052	0.98943	0.0	0.99009	0.99042	0.7424	0.72919	0.72952	1.0	0.73018	0.72919	0.72919	0.72985	0.73085	0.72985	1.0	0.73052	0.99042	1.0	0.76387	0.73052	1.0	1.0	1.0	0.73052	1.0	0.73052	1.0	1.0	0.73018	1.0	0.73018	0.99075	0.73018	1.0	0.99042	1.0	0.73018	0.73052	0.73052	0.73052	0.99075	0.72985	1.0	0.72985	0.72952	1.0
SRX1592230_SRR3177752	0.42933	0.99571	0.99571	0.99571	0.99571	0.99075	0.99108	1.0	1.0	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	0.46433	0.99075	0.40687	0.99009	0.0	0.4607	0.99141	0.99075	0.99075	1.0	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	1.0	0.99075	0.02906	1.0	0.9924	0.99075	1.0	1.0	1.0	0.99075	1.0	0.99075	1.0	1.0	0.99075	1.0	0.99075	0.47721	0.99075	1.0	0.46697	1.0	0.99075	0.99075	0.99075	0.99075	0.04161	0.99075	1.0	0.99075	0.99075	1.0
SRX1592245_SRR3177753	0.45509	0.99604	0.99604	0.99604	0.99604	0.99141	0.99141	1.0	1.0	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.05383	0.99108	0.42041	0.99042	0.4607	0.0	0.99174	0.99108	0.99108	1.0	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	1.0	0.99108	0.45773	1.0	0.99075	0.99108	1.0	1.0	1.0	0.99108	1.0	0.99108	1.0	1.0	0.99108	1.0	0.99108	0.50429	0.99108	1.0	0.48151	1.0	0.99108	0.99108	0.99108	0.99108	0.46433	0.99108	1.0	0.99108	0.99108	1.0
SRX1592271_SRR3177757	0.99174	0.9607	0.9607	0.9607	0.9607	0.08851	0.10403	1.0	1.0	0.04194	0.04524	0.04293	0.04326	0.04293	0.0426	0.04161	0.99174	0.04161	0.99207	0.7424	0.99141	0.99174	0.0	0.04161	0.04326	0.99967	0.04293	0.04392	0.04227	0.04095	0.04227	0.04359	1.0	0.04227	0.99141	1.0	0.81638	0.04458	1.0	1.0	1.0	0.04161	1.0	0.04293	1.0	1.0	0.04227	1.0	0.04194	0.99306	0.04293	1.0	0.99306	1.0	0.04326	0.04557	0.04557	0.04392	0.99174	0.04161	1.0	0.04194	0.04227	1.0
SRX1592280_SRR3177759	0.99141	1.0	1.0	1.0	1.0	0.05053	0.06737	1.0	1.0	0.00297	0.00627	0.00396	0.00429	0.00396	0.00231	0.0033	0.99108	0.00264	0.99174	0.72919	0.99075	0.99108	0.04161	0.0	0.00363	1.0	0.0033	0.00429	0.0033	0.00264	0.00396	0.00528	1.0	0.0033	0.99075	1.0	0.80713	0.00561	1.0	1.0	1.0	0.0033	1.0	0.0033	1.0	1.0	0.0033	1.0	0.00231	0.99273	0.0033	1.0	0.99273	1.0	0.00561	0.00661	0.00661	0.00363	0.99108	0.00264	1.0	0.00297	0.0033	1.0
SRX1592286_SRR3177760	0.99141	0.99901	0.99901	0.99901	0.99901	0.05218	0.06869	1.0	1.0	0.00363	0.0076	0.00561	0.00561	0.00495	0.00462	0.00462	0.99108	0.00363	0.99174	0.72952	0.99075	0.99108	0.04326	0.00363	0.0	1.0	0.00495	0.00561	0.00561	0.00429	0.00462	0.00627	1.0	0.00495	0.99075	1.0	0.80713	0.00694	1.0	1.0	1.0	0.00462	1.0	0.00561	1.0	1.0	0.00495	1.0	0.00462	0.99273	0.00462	1.0	0.99273	1.0	0.00627	0.00892	0.00892	0.00528	0.99108	0.00429	1.0	0.00495	0.00528	1.0
SRX1592295_SRR3177763	0.99967	0.99273	0.99273	0.99273	0.99273	1.0	1.0	0.94155	0.94122	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99967	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97919	1.0	1.0	0.95608	1.0	1.0	0.93329	0.93527	0.93659	1.0	0.93098	1.0	0.95674	0.95641	1.0	0.94089	1.0	1.0	1.0	0.95707	1.0	0.95641	1.0	1.0	1.0	1.0	0.99934	1.0	0.94221	1.0	1.0	0.94055
SRX1592307_SRR3177765	0.99141	1.0	1.0	1.0	1.0	0.05053	0.0677	1.0	1.0	0.00165	0.00627	0.00396	0.00429	0.00198	0.00231	0.00231	0.99108	0.00132	0.99174	0.73018	0.99075	0.99108	0.04293	0.0033	0.00495	1.0	0.0	0.00561	0.00462	0.00396	0.00231	0.00528	1.0	0.00198	0.99075	1.0	0.80647	0.00429	1.0	1.0	1.0	0.0033	1.0	0.00264	1.0	1.0	0.00198	1.0	0.00165	0.99273	0.00132	1.0	0.99273	1.0	0.00429	0.00859	0.00727	0.00231	0.99108	0.00396	1.0	0.00363	0.00462	1.0
SRX1592314_SRR3177768	0.99141	0.99934	0.99934	0.99934	0.99934	0.05218	0.06902	1.0	1.0	0.00462	0.00826	0.00627	0.00627	0.00627	0.00528	0.00528	0.99108	0.00495	0.99174	0.72919	0.99075	0.99108	0.04392	0.00429	0.00561	1.0	0.00561	0.0	0.00528	0.00495	0.00561	0.0076	1.0	0.00594	0.99075	1.0	0.8068	0.0076	1.0	1.0	1.0	0.00429	1.0	0.00594	1.0	1.0	0.00462	1.0	0.00528	0.99273	0.00495	1.0	0.99273	1.0	0.00727	0.00892	0.00826	0.00594	0.99108	0.00528	1.0	0.00396	0.00396	1.0
SRX1592320_SRR3177775	0.99141	0.99967	0.99967	0.99967	0.99967	0.0502	0.06605	1.0	1.0	0.00429	0.00561	0.0033	0.00429	0.00528	0.00429	0.00396	0.99108	0.00396	0.99141	0.72919	0.99075	0.99108	0.04227	0.0033	0.00561	1.0	0.00462	0.00528	0.0	0.00396	0.00528	0.00594	1.0	0.00462	0.99075	1.0	0.80647	0.00495	1.0	1.0	1.0	0.00363	1.0	0.0033	1.0	1.0	0.00396	1.0	0.00363	0.99273	0.00462	1.0	0.9924	1.0	0.00495	0.00661	0.00694	0.00561	0.99108	0.00264	1.0	0.00429	0.00396	1.0
SRX1592323_SRR3177790	0.99141	1.0	1.0	1.0	1.0	0.05119	0.0677	1.0	1.0	0.00297	0.00627	0.00396	0.00429	0.00396	0.00363	0.0033	0.99108	0.00264	0.99174	0.72985	0.99075	0.99108	0.04095	0.00264	0.00429	1.0	0.00396	0.00495	0.00396	0.0	0.0033	0.0033	1.0	0.00264	0.99075	1.0	0.80713	0.00561	1.0	1.0	1.0	0.0033	1.0	0.00396	1.0	1.0	0.00297	1.0	0.00231	0.99273	0.00396	1.0	0.99273	1.0	0.00429	0.00727	0.00594	0.00363	0.99108	0.00264	1.0	0.00165	0.00231	1.0
SRX1592325_SRR3177803	0.99141	1.0	1.0	1.0	1.0	0.05152	0.06836	1.0	1.0	0.00099	0.00561	0.00396	0.00429	0.00264	0.00297	0.00231	0.99108	0.00132	0.99174	0.73085	0.99075	0.99108	0.04227	0.00396	0.00462	1.0	0.00231	0.00561	0.00528	0.0033	0.0	0.00462	1.0	0.00264	0.99075	1.0	0.80647	0.00429	1.0	1.0	1.0	0.00264	1.0	0.0033	1.0	1.0	0.00264	1.0	0.00231	0.99273	0.00198	1.0	0.99273	1.0	0.00429	0.00859	0.00727	0.00363	0.99108	0.00396	1.0	0.00297	0.00462	1.0
SRX1592328_SRR3177805	0.99141	0.99901	0.99901	0.99901	0.99901	0.05185	0.06836	1.0	1.0	0.00429	0.00826	0.00661	0.00694	0.00528	0.00561	0.00528	0.99108	0.00462	0.99141	0.72985	0.99075	0.99108	0.04359	0.00528	0.00627	1.0	0.00528	0.0076	0.00594	0.0033	0.00462	0.0	1.0	0.00396	0.99075	1.0	0.80713	0.00694	1.0	1.0	1.0	0.00528	1.0	0.00594	1.0	1.0	0.00528	1.0	0.00429	0.99273	0.00462	1.0	0.9924	1.0	0.00528	0.00991	0.00859	0.00495	0.99108	0.00528	1.0	0.00429	0.00462	1.0
SRX1592336_SRR3177862	1.0	0.99934	0.99934	0.99934	0.99934	1.0	1.0	0.92933	0.929	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97919	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.9465	1.0	1.0	0.94452	0.94881	0.94914	1.0	0.9465	1.0	0.9465	0.94683	1.0	0.929	1.0	1.0	1.0	0.94617	1.0	0.9465	1.0	1.0	1.0	1.0	1.0	1.0	0.929	1.0	1.0	0.92966
SRX1592340_SRR3177890	0.99141	0.99967	0.99967	0.99967	0.99967	0.05053	0.06704	1.0	1.0	0.00165	0.00561	0.0033	0.00363	0.00198	0.00231	0.00198	0.99108	0.00132	0.99174	0.73052	0.99075	0.99108	0.04227	0.0033	0.00495	1.0	0.00198	0.00594	0.00462	0.00264	0.00264	0.00396	1.0	0.0	0.99075	1.0	0.8068	0.00429	1.0	1.0	1.0	0.00264	1.0	0.00264	1.0	1.0	0.00264	1.0	0.00099	0.99273	0.00198	1.0	0.99273	1.0	0.00363	0.0076	0.00561	0.00231	0.99108	0.0033	1.0	0.00264	0.00363	1.0
SRX1592341_SRR3177900	0.43065	0.99769	0.99769	0.99769	0.99769	0.99075	0.99108	1.0	1.0	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	0.46169	0.99075	0.40291	0.99042	0.02906	0.45773	0.99141	0.99075	0.99075	1.0	0.99075	0.99075	0.99075	0.99075	0.99075	0.99075	1.0	0.99075	0.0	1.0	0.99207	0.99075	1.0	1.0	1.0	0.99075	1.0	0.99075	1.0	1.0	0.99075	1.0	0.99075	0.47523	0.99075	1.0	0.46466	1.0	0.99075	0.99075	0.99075	0.99075	0.03633	0.99075	1.0	0.99075	0.99075	1.0
SRX1592343_SRR3177903	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.60997	0.60931	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95608	1.0	1.0	1.0	1.0	1.0	1.0	0.9465	1.0	1.0	0.0	1.0	1.0	0.74108	0.80218	0.80317	1.0	0.71565	1.0	0.02378	0.0284	1.0	0.60172	1.0	1.0	1.0	0.02576	1.0	0.02873	1.0	1.0	1.0	1.0	1.0	1.0	0.59974	1.0	1.0	0.59974
SRX1592345_SRR3177919	0.99075	0.99934	0.99934	0.99934	0.99934	0.81308	0.81506	1.0	1.0	0.80647	0.80647	0.80647	0.8068	0.80647	0.80647	0.80647	0.99075	0.80647	0.99141	0.76387	0.9924	0.99075	0.81638	0.80713	0.80713	1.0	0.80647	0.8068	0.80647	0.80713	0.80647	0.80713	1.0	0.8068	0.99207	1.0	0.0	0.80647	1.0	1.0	1.0	0.80647	1.0	0.80647	1.0	1.0	0.80647	1.0	0.8068	0.99207	0.80647	1.0	0.99174	1.0	0.80647	0.80713	0.80746	0.8068	0.99273	0.8068	1.0	0.80713	0.80713	1.0
SRX1592347_SRR3177927	0.99141	0.99967	0.99967	0.99967	0.99967	0.05152	0.06671	1.0	1.0	0.0033	0.00462	0.00297	0.00462	0.00495	0.00462	0.00429	0.99108	0.00363	0.99174	0.73052	0.99075	0.99108	0.04458	0.00561	0.00694	1.0	0.00429	0.0076	0.00495	0.00561	0.00429	0.00694	1.0	0.00429	0.99075	1.0	0.80647	0.0	1.0	1.0	1.0	0.00396	1.0	0.00297	1.0	1.0	0.00495	1.0	0.00396	0.99273	0.00429	1.0	0.99273	1.0	0.00661	0.00892	0.00793	0.00594	0.99108	0.00429	1.0	0.00528	0.00627	1.0
SRX1592348_SRR3177928	1.0	0.97193	0.97193	0.97193	0.97193	1.0	1.0	0.6354	0.63573	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93329	1.0	1.0	1.0	1.0	1.0	1.0	0.94452	1.0	1.0	0.74108	1.0	1.0	0.0	0.75826	0.75727	1.0	0.68692	1.0	0.74141	0.74306	1.0	0.63838	1.0	1.0	1.0	0.74075	1.0	0.74273	1.0	1.0	1.0	1.0	1.0	1.0	0.63904	1.0	1.0	0.64036
